"Category";"Jakson keskilämpötila";"Keskilämpötilan poikkeama 1981-2010 keskiarvosta"
1961;-2.3;1.6
1962;-2.7;1.2
1963;-8.3;-4.4
1964;-1.9;2
1965;-2.7;1.2
1966;-11.6;-7.7
1967;-9.7;-5.8
1968;-12.8;-8.9
1969;-8.1;-4.2
1970;-8.6;-4.7
1971;-1.3;2.6
1972;-7.2;-3.3
1973;-1.1;2.8
1974;-1.9;2
1975;-0.3;3.6
1976;-8.5;-4.6
1977;-5.5;-1.6
1978;-4.7;-0.8
1979;-7.6;-3.7
1980;-7.4;-3.5
1981;-3.1;0.8
1982;-8.6;-4.7
1983;-0.3;3.6
1984;-3.2;0.7
1985;-13.9;-10
1986;-6.6;-2.7
1987;-16.5;-12.6
1988;-1.5;2.4
1989;0.5;4.4
1990;-2.7;1.2
1991;-2;1.9
1992;-0.7;3.2
1993;-0.7;3.2
1994;-3;0.9
1995;-2;1.9
1996;-5.2;-1.3
1997;-3.2;0.7
1998;-1;2.9
1999;-5;-1.1
2000;-2.2;1.7
2001;-1;2.9
2002;-2.6;1.3
2003;-8.5;-4.6
2004;-5.7;-1.8
2005;-0.1;3.8
2006;-3.6;0.3
2007;-1.1;2.8
2008;0.5;4.4
2009;-2.8;1.1
2010;-10.4;-6.5
2011;-4.4;-0.5
2012;-3.4;0.5
2013;-4.9;-1
2014;-5.9;-2
2015;-0.9;3
2016;-8.8;-4.9
2017;-1.9;2
2018;-1.2;2.7
2019;-4.6;-0.7
